,GitHub Name,Smogon Name,PMD Reference,,Pts.,Spr.,D.Spr.,Pokémon,Types,,HP,Atk,Def,SpA,SpD,Spe,0,252,252+,,Sprite
,-,-,-,,,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-
,bulbasaur,bulbasaur,0001,,1,,,Bulbasaur,Grass,Poison,45,49,49,65,65,45,126,189,207,,
,ivysaur,ivysaur,0002,,1,,,Ivysaur,Grass,Poison,60,62,63,80,80,60,156,219,240,,
,venusaur,venusaur,0003,,7,,,Venusaur,Grass,Poison,80,82,83,100,100,80,196,259,284,,
,venusaur-mega,venusaur-mega,0003/0001,,14,,,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,196,259,284,,
,charmander,charmander,0004,,1,,,Charmander,Fire,-,39,52,43,60,50,65,166,229,251,,
,charmeleon,charmeleon,0005,,1,,,Charmeleon,Fire,-,58,64,58,80,65,80,196,259,284,,
,charizard,charizard,0006,,2,,,Charizard,Fire,Flying,78,84,78,109,85,100,236,299,328,,
,charizard-mega-x,charizard-megax,0006/0001,,17,,,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,236,299,328,,
,charizard-mega-y,charizard-megay,0006/0002,,14,,,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,236,299,328,,
,squirtle,squirtle,0007,,1,,,Squirtle,Water,-,44,48,65,50,64,43,122,185,203,,
,wartortle,wartortle,0008,,1,,,Wartortle,Water,-,59,63,80,65,80,58,152,215,236,,
,blastoise,blastoise,0009,,8,,,Blastoise,Water,-,79,83,100,85,105,78,192,255,280,,
,blastoise-mega,blastoise-mega,0009/0001,,12,,,Mega Blastoise,Water,-,79,103,120,135,115,78,192,255,280,,
,caterpie,caterpie,0010,,1,,,Caterpie,Bug,-,45,30,35,20,20,45,126,189,207,,
,metapod,metapod,0011,,1,,,Metapod,Bug,-,50,20,55,25,25,30,96,159,174,,
,butterfree,butterfree,0012,,1,,,Butterfree,Bug,Flying,60,45,50,90,80,70,176,239,262,,
,weedle,weedle,0013,,1,,,Weedle,Bug,Poison,40,35,30,20,20,50,136,199,218,,
,kakuna,kakuna,0014,,1,,,Kakuna,Bug,Poison,45,25,50,25,25,35,106,169,185,,
,beedrill,beedrill,0015,,1,,,Beedrill,Bug,Poison,65,90,40,45,80,75,186,249,273,,
,beedrill-mega,beedrill-mega,0015/0001,,8,,,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,326,389,427,,
,pidgey,pidgey,0016,,1,,,Pidgey,Normal,Flying,40,45,40,35,35,56,148,211,232,,
,pidgeotto,pidgeotto,0017,,1,,,Pidgeotto,Normal,Flying,63,60,55,50,50,71,178,241,265,,
,pidgeot,pidgeot,0018,,1,,,Pidgeot,Normal,Flying,83,80,75,70,70,101,238,301,331,,
,pidgeot-mega,pidgeot-mega,0018/0001,,13,,,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,278,341,375,,
,rattata,rattata,0019,,1,,,Rattata,Normal,-,30,56,35,25,35,72,180,243,267,,
,rattata-alola,rattata-alola,0019/0001,,1,,,Alolan Rattata,Dark,Normal,30,56,35,25,35,72,180,243,267,,
,raticate,raticate,0020,,1,,,Raticate,Normal,-,55,81,60,50,70,97,230,293,322,,
,raticate-alola,raticate-alola,0020/0001,,1,,,Alolan Raticate,Dark,Normal,75,71,70,40,80,77,190,253,278,,
,spearow,spearow,0021,,1,,,Spearow,Normal,Flying,40,60,30,31,31,70,176,239,262,,
,fearow,fearow,0022,,1,,,Fearow,Normal,Flying,65,90,65,61,61,100,236,299,328,,
,ekans,ekans,0023,,1,,,Ekans,Poison,-,35,60,44,40,54,55,146,209,229,,
,arbok,arbok,0024,,1,,,Arbok,Poison,-,60,95,69,65,79,80,196,259,284,,
,pikachu,pikachu,0025,,1,,,Pikachu,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-cosplay,pikachu,0025,,,,,Pikachu-Cosplay,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-rock-star,pikachu-rockstar,0025/0002,,,,,Pikachu-Rock-Star,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-belle,pikachu-belle,0025/0003,,,,,Pikachu-Belle,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-pop-star,pikachu-popstar,0025/0004,,,,,Pikachu-Pop-Star,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-phd,pikachu-phd,0025/0005,,,,,Pikachu-PhD,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-libre,pikachu-libre,0025/0006,,,,,Pikachu-Libre,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-original-cap,pikachu-original,0025/0008,,,,,Pikachu-Original,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-hoenn-cap,pikachu-hoenn,0025/0009,,,,,Pikachu-Hoenn,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-sinnoh-cap,pikachu-sinnoh,0025/0010,,,,,Pikachu-Sinnoh,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-unova-cap,pikachu-unova,0025/0011,,,,,Pikachu-Unova,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-kalos-cap,pikachu-kalos,0025/0012,,,,,Pikachu-Kalos,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-alola-cap,pikachu-alola,0025/0013,,,,,Pikachu-Alola,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-partner-cap,pikachu-partner,0025/0014,,,,,Pikachu-Partner,Electric,-,35,55,40,50,50,90,216,279,306,,
,pikachu-starter,pikachu-starter,0025,,,,,Pikachu-Starter,Electric,-,45,80,50,75,60,120,276,339,372,,
,raichu,raichu,0026,,2,,,Raichu,Electric,-,60,90,55,90,80,110,256,319,350,,
,raichu-alola,raichu-alola,0026/0001,,5,,,Alolan Raichu,Electric,Psychic,60,85,50,95,85,110,256,319,350,,
,sandshrew,sandshrew,0027,,1,,,Sandshrew,Ground,-,50,75,85,20,30,40,116,179,196,,
,sandshrew-alola,sandshrew-alola,0027/0001,,1,,,Alolan Sandshrew,Ice,Steel,50,75,90,10,35,40,116,179,196,,
,sandslash,sandslash,0028,,2,,,Sandslash,Ground,-,75,100,110,45,55,65,166,229,251,,
,sandslash-alola,sandslash-alola,0028/0001,,2,,,Alolan Sandslash,Ice,Steel,75,100,120,25,65,65,166,229,251,,
,nidoran-f,nidoranf,0029,,1,,,Nidoran-Female,Poison,-,55,47,52,40,40,41,118,181,199,,
,nidorina,nidorina,0030,,1,,,Nidorina,Poison,-,70,62,67,55,55,56,148,211,232,,
,nidoqueen,nidoqueen,0031,,13,,,Nidoqueen,Poison,Ground,90,92,87,75,85,76,188,251,276,,
,nidoran-m,nidoranm,0032,,1,,,Nidoran-Male,Poison,-,46,57,40,40,40,50,136,199,218,,
,nidorino,nidorino,0033,,1,,,Nidorino,Poison,-,61,72,57,55,55,65,166,229,251,,
,nidoking,nidoking,0034,,14,,,Nidoking,Poison,Ground,81,102,77,85,75,85,206,269,295,,
,clefairy,clefairy,0035,,4,,,Clefairy,Fairy,-,70,45,48,60,65,35,106,169,185,,
,clefable,clefable,0036,,16,,,Clefable,Fairy,-,95,70,73,95,90,60,156,219,240,,
,vulpix,vulpix,0037,,1,,,Vulpix,Fire,-,38,41,40,50,65,65,166,229,251,,
,vulpix-alola,vulpix-alola,0037/0001,,1,,,Alolan Vulpix,Ice,-,38,41,40,50,65,65,166,229,251,,
,ninetales,ninetales,0038,,3,,,Ninetales,Fire,-,73,76,75,81,100,100,236,299,328,,
,ninetales-alola,ninetales-alola,0038/0001,,14,,,Alolan Ninetales,Ice,Fairy,73,67,75,81,100,109,254,317,348,,
,jigglypuff,jigglypuff,0039,,1,,,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,76,139,152,,
,wigglytuff,wigglytuff,0040,,1,,,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,126,189,207,,
,zubat,zubat,0041,,1,,,Zubat,Poison,Flying,40,45,35,30,40,55,146,209,229,,
,golbat,golbat,0042,,2,,,Golbat,Poison,Flying,75,80,70,65,75,90,216,279,306,,
,oddish,oddish,0043,,1,,,Oddish,Grass,Poison,45,50,55,75,65,30,96,159,174,,
,gloom,gloom,0044,,1,,,Gloom,Grass,Poison,60,65,70,85,75,40,116,179,196,,
,vileplume,vileplume,0045,,4,,,Vileplume,Grass,Poison,75,80,85,110,90,50,136,199,218,,
,paras,paras,0046,,1,,,Paras,Bug,Grass,35,70,55,45,55,25,86,149,163,,
,parasect,parasect,0047,,1,,,Parasect,Bug,Grass,60,95,80,60,80,30,96,159,174,,
,venonat,venonat,0048,,1,,,Venonat,Bug,Poison,60,55,50,40,55,45,126,189,207,,
,venomoth,venomoth,0049,,3,,,Venomoth,Bug,Poison,70,65,60,90,75,90,216,279,306,,
,diglett,diglett,0050,,1,,,Diglett,Ground,-,10,55,25,35,45,95,226,289,317,,
,diglett-alola,diglett-alola,0050/0001,,1,,,Alolan Diglett,Ground,Steel,10,55,30,35,45,90,216,279,306,,
,dugtrio,dugtrio,0051,,8,,,Dugtrio,Ground,-,35,100,50,50,70,120,276,339,372,,
,dugtrio-alola,dugtrio-alola,0051/0001,,1,,,Alolan Dugtrio,Ground,Steel,35,100,60,50,70,110,256,319,350,,
,meowth,meowth,0052,,1,,,Meowth,Normal,-,40,45,35,40,40,90,216,279,306,,
,meowth-alola,meowth-alola,0052/0001,,1,,,Alolan Meowth,Dark,-,40,35,35,50,40,90,216,279,306,,
,meowth-galar,meowth-galar,0052/0002,,,,,Galarian Meowth,Steel,-,50,65,55,40,40,40,116,179,196,,
,persian,persian,0053,,1,,,Persian,Normal,-,65,70,60,65,65,115,266,329,361,,
,persian-alola,persian-alola,0053/0001,,4,,,Alolan Persian,Dark,-,65,60,60,75,65,115,266,329,361,,
,psyduck,psyduck,0054,,1,,,Psyduck,Water,-,50,52,48,65,50,55,146,209,229,,
,golduck,golduck,0055,,1,,,Golduck,Water,-,80,82,78,95,80,85,206,269,295,,
,mankey,mankey,0056,,1,,,Mankey,Fighting,-,40,80,35,35,45,70,176,239,262,,
,primeape,primeape,0057,,2,,,Primeape,Fighting,-,65,105,60,60,70,95,226,289,317,,
,growlithe,growlithe,0058,,1,,,Growlithe,Fire,-,55,70,45,70,50,60,156,219,240,,
,growlithe-hisui,growlithe-hisui,0058/0001,,,,,Hisuian Growlithe,Fire,Rock,60,75,45,65,50,55,146,209,229,,
,arcanine,arcanine,0059,,12,,,Arcanine,Fire,-,90,110,80,100,80,95,226,289,317,,
,arcanine-hisui,arcanine-hisui,0059/0001,,,,,Hisuian Arcanine,Fire,Rock,95,115,80,95,80,90,216,279,306,,
,poliwag,poliwag,0060,,1,,,Poliwag,Water,-,40,50,40,40,40,90,216,279,306,,
,poliwhirl,poliwhirl,0061,,1,,,Poliwhirl,Water,-,65,65,65,50,50,90,216,279,306,,
,poliwrath,poliwrath,0062,,3,,,Poliwrath,Water,Fighting,90,95,95,70,90,70,176,239,262,,
,abra,abra,0063,,1,,,Abra,Psychic,-,25,20,15,105,55,90,216,279,306,,
,kadabra,kadabra,0064,,1,,,Kadabra,Psychic,-,40,35,30,120,70,105,246,309,339,,
,alakazam,alakazam,0065,,8,,,Alakazam,Psychic,-,55,50,45,135,95,120,276,339,372,,
,alakazam-mega,alakazam-mega,0065/0001,,99,,,Mega Alakazam,Psychic,-,55,50,65,175,105,150,336,399,438,,
,machop,machop,0066,,1,,,Machop,Fighting,-,70,80,50,35,35,35,106,169,185,,
,machoke,machoke,0067,,1,,,Machoke,Fighting,-,80,100,70,50,60,45,126,189,207,,
,machamp,machamp,0068,,3,,,Machamp,Fighting,-,90,130,80,65,85,55,146,209,229,,
,bellsprout,bellsprout,0069,,1,,,Bellsprout,Grass,Poison,50,75,35,70,30,40,116,179,196,,
,weepinbell,weepinbell,0070,,1,,,Weepinbell,Grass,Poison,65,90,50,85,45,55,146,209,229,,
,victreebel,victreebel,0071,,2,,,Victreebel,Grass,Poison,80,105,65,100,70,70,176,239,262,,
,tentacool,tentacool,0072,,1,,,Tentacool,Water,Poison,40,40,35,50,100,70,176,239,262,,
,tentacruel,tentacruel,0073,,10,,,Tentacruel,Water,Poison,80,70,65,80,120,100,236,299,328,,
,geodude,geodude,0074,,1,,,Geodude,Rock,Ground,40,80,100,30,30,20,76,139,152,,
,geodude-alola,geodude-alola,0074/0001,,1,,,Alolan Geodude,Rock,Electric,40,80,100,30,30,20,76,139,152,,
,graveler,graveler,0075,,1,,,Graveler,Rock,Ground,55,95,115,45,45,35,106,169,185,,
,graveler-alola,graveler-alola,0075/0001,,1,,,Alolan Graveler,Rock,Electric,55,95,115,45,45,35,106,169,185,,
,golem,golem,0076,,1,,,Golem,Rock,Ground,80,120,130,55,65,45,126,189,207,,
,golem-alola,golem-alola,0076/0001,,2,,,Alolan Golem,Rock,Electric,80,120,130,55,65,45,126,189,207,,
,ponyta,ponyta,0077,,1,,,Ponyta,Fire,-,50,85,55,65,65,90,216,279,306,,
,ponyta-galar,ponyta-galar,0077/0001,,,,,Galarian Ponyta,Psychic,-,50,85,55,65,65,90,216,279,306,,
,rapidash,rapidash,0078,,1,,,Rapidash,Fire,-,65,100,70,80,80,105,246,309,339,,
,rapidash-galar,rapidash-galar,0078/0001,,,,,Galarian Rapidash,Psychic,Fairy,65,100,70,80,80,105,246,309,339,,
,slowpoke,slowpoke,0079,,1,,,Slowpoke,Water,Psychic,90,65,65,40,40,15,66,129,141,,
,slowpoke-galar,slowpoke-galar,0079/0001,,,,,Galarian Slowpoke,Psychic,-,90,65,65,40,40,15,66,129,141,,
,slowbro,slowbro,0080,,16,,,Slowbro,Water,Psychic,95,75,110,100,80,30,96,159,174,,
,slowbro-galar,slowbro-galar,0080/0001,,,,,Galarian Slowbro,Poison,Psychic,95,100,95,100,70,30,96,159,174,,
,slowbro-mega,slowbro-mega,0080/0002,,10,,,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,96,159,174,,
,magnemite,magnemite,0081,,1,,,Magnemite,Electric,Steel,25,35,70,95,55,45,126,189,207,,
,magneton,magneton,0082,,3,,,Magneton,Electric,Steel,50,60,95,120,70,70,176,239,262,,
,farfetchd,farfetchd,0083,,1,,,Farfetch'd,Normal,Flying,52,90,55,58,62,60,156,219,240,,
,farfetchd-galar,farfetchd-galar,0083/0001,,,,,Galarian Farfetch'd,Fighting,-,52,95,55,58,62,55,146,209,229,,
,doduo,doduo,0084,,1,,,Doduo,Normal,Flying,35,85,45,35,35,75,186,249,273,,
,dodrio,dodrio,0085,,2,,,Dodrio,Normal,Flying,60,110,70,60,60,110,256,319,350,,
,seel,seel,0086,,1,,,Seel,Water,-,65,45,55,45,70,45,126,189,207,,
